context,response,context_length,response_length
I think you pRobably already know the answer.,But it doesn't make any sense.,8,6
You don't understand why a Woman might be upset because her boyfriend lied to her?,I wouldn't be lying as her boyfriend. I'd be lying as her employee.,15,13
That's not how relationships work.,My Patient is gonna die.,5,5
"Now that you're my doctor, you, uh! You can't tell anybody, right?",Who'd leak a story about a sitting senator who got hep C from doing cocaine? You didn't fill out any paperwork. I'm gonna run this test under an assumed name. Trust me! No one will Ever know you were here.,12,40
Who'd leak a story about a sitting senator who got hep C from doing cocaine? You didn't fill out any paperwork. I'm gonna run this test under an assumed name. Trust me! No one will Ever know you were here.,"Blood test confirming hep C. He got sicker, his viral load came up, finally showed up on the test.",40,19
Thank you. There was a time when you would have completely ignored my request. That means a lot that you respect me enough to do this.,"I've come a long way, baby.",26,6
It's like I'm on a Mobius strip.,We've had this conversation. You want this job.,7,8
We've had this conversation. You want this job.,"Prove yourself to me, no more games. At least, the current game ends. Others may start. You have my deeply-flawed word.",8,21
What do I have to do?,"Get Dugan to let us give him hep A. And while you're figuring out the best way to coax a Patient into a treatment that has an 85 mortality rate, here's some advice: Don't.",6,34
I'm not gonna lie to him.,"You have a math degree. So let's see if you can follow along here. You lie to him, he definitely consents, he might live. You tell him the truth like last time, he might not consent, he definitely dies. Remind me what's so wrong about lying?",6,46
"Well, technically, it works infinitely better because arsenic has a 0 chance. This is your only shot. Both Dr. House and I beliEve that. He faked a blood test in order to get you approved for this treatment. And then he tried to bribe me into lying to you about the risks. If either of those incidents came to light, he would be suspended and pRobably lose his license.","Oh, I'm sure some other people would suffer.",69,8
I did it. And I didn't have to lie.,And you feel good about that?,9,6
"You can pretend you wanted me to lie, but you didn't. You want the people on your team to challenge you otherwise you'd just be a bully instead of a great doctor. You hired me because I don't compromise my principals.",Or I want a front row seat when you wake up and realize how useless your principals are. I don't want you to just lie to a Patient. I want you to want to lie to a Patient.,41,38
Nothing. I'll see you upstairs.,"If I knew hiring her meant dealing with medical school paperwork, I might've reconsidered. You really got nothing better to do than watch me sign this?",5,26
And miss the ultimate admission that I was right about Masters all along?,She had me when she called you a coward. You gonna hang out?,13,13
Get her a towel. What was in that jar?,Why aren't you guys in my office?,9,7
"33-year-old male with hemoptysis, fEver!",Can't we Even talk about it?,5,6
"You can't apologize, we can't talk. And puncture wounds.",I'm not apologizing for doing the right thing.,9,8
Lying to me was not the right thing. Puncture wounds are from a crucifixion.,I lied to save my Patient's life. I didn't lie to you. I lied to my boss. Either of those arguments working yet? I guess that means I don't have to go to the wedding on Saturday.,14,37
"The Hospital's ChairMan of the Board? I'm not gonna stand him up, and neither are you.","I loathe weddings and their sEven lEvels of hypocrisy. But you do seem awfully hissy. And there's an outside chance that I could get you drunk and score. So as long as you don't take it as an admission of guilt, sure, count me in. A bit too much honesty?",16,50
You're also going to the rehearsal dinner Friday night. Dressy casual.,"Housekeeping. Either you're crazy or you're atoning for something naughty, and you're crazy.",11,13
"My Marisa was diagnosed with terminal brain cancer. Stage IV glioblastoma. When the doctors said she had two months to live, that's when I made my bargain.",With your health insurance carrier?,27,5
I told him I would nail myself to a cross Every year he kept her alive.,So how did that negotiation go? You lowballed with ear piercing and God countered?,16,14
"Three weeks later, she was cancer-free. And that was four years ago.",Pontius Pilate  misunderstood oncologist.,12,5
My ex-wife thinks I'm crazy too. She moved out the first time I did this.,"Well, at least your daughter has one viable role model.",15,10
You don't beliEve in God?,I did. Then I grew my curly hairs.,5,8
So how do you think I was cured?,Maybe you were misdiagnosed in the first place.,8,8
"You have your answer, doctors. We have ours.","Causal determinism. We are hardwired to need answers. The cave Man who heard a rustle in the bushes checked out to see what it was lived longer than the guy who assumed it was just a breeze. The pRoblem is, when we don't find a logical answer, we settle for a stupid one. Ritual is what happens when we run out of rational.",8,63
"If you're done mocking him, we need to prep for an LP.",Good. Another hole in him should really make God's day.,12,10
Good. Another hole in him should really make God's day.,"Why are you late? Your next dental appointment isn't till January, and you just saw your GP eight days ago. You think stage IV glioblastoma in an eight-year-old could disappear in three weeks?",10,33
I had a flat tire. Your Patient has cancer?,"Your tires got less than 5,000 miles on them. No, and neither does my Patient's daughter.",9,16
In three weeks? It's highly unlikely.,There's no construction site between here and your home. I agree. I think it was a misdiagnosed cyst.,6,18
"But there is one between here and my dry cleaner. It could be a misdiagnosis, or it could be spontaneous remission. But! why would I lie about this?",I don't know yet. But you would have dropped off your tie. It's got a mustard stain.,28,17
I was buying an engagement ring. I'm gonna propose to Sam at the wedding.,That is the second stupidest thing I've heard today. And I'm surprised how close you came. You don't need to buy her a new ring. Isn't the first one good for all you can marry?,14,35
There's a lovely symmetry to it. The lie got you into it. A lie gets you out of it.,Everybody lies. I'm sure Cuddy!,19,5
Everybody lies. I'm sure Cuddy!,Just need to give her a chance.,5,7
"Then again, maybe we were wrong.","FEver, coughing up blood, coughing up teeth. So either God sweetened the deal with a ""no flossing"" clause or!",6,19
"Heavy metal poisoning fits. Canned tuna, sushi, lead paint.",Heavy metal it is. Do a home search and a peripheral smear.,9,12
I can't. I have a personal errand to run.,He stops and turns to Taub) Trying to catch your wife cheating?,9,12
Oh! Why would you say that?,Missing mojo. Posture's slumped. Expression defeated. Didn't try to back up,6,11
Missing mojo. Posture's slumped. Expression defeated. Didn't try to back up,Shopkeeper. I need a Patient file.,11,6
And why would he think that?,Because he's strangely perceptive for an idiot.,6,7
And I'm going to violate Patient privacy laws just to keep you happy?,"You keep me happy, I return the favor. Think of it as tat for tit.",13,15
"When we're at work, we need to focus on our work thoughts. Why are you wearing that?",It's my dressy casual. What do you think?,17,8
"You look like Wilson. It looks weird. Well, you knew I'd think that. Which makes me wonder why you look disappointed.","If you prick me, do I not bleed?",21,8
"You knew I wouldn't like it, but you thought I would say I did. That's what this is about. You're trying to trap me into lying to you.",You sure? 'Cause that sounds so juvenile.,28,7
Sudoku. What do you think? I'm the head of oncology at a major hospital.,And yet these files are not from this hospital. These are from where-my-fiancee-works memorial.,14,14
"Sam's boss is doing a clinical review of all of her files, and she just wanted to make sure Everything was in order before he starts on Monday.",Which explains why Sam is too busy to look at my file.,28,12
"If I don't help her, she can't go to the wedding and! We fell in love at her cousin's wedding, which is why I want to propose to her at a wedding. And now you have 60 seconds to berate me for that and for helping my girlfriend with her homework.","You don't want to propose at a wedding. Emotions running high, people on edge. You ought to try somewhere like a Buddhist temple or an aquarium. Or a Buddhist aquarium. That only took ten seconds. You can spend the rest of the time on my file.",51,46
Leg pain and Pseudobulbar Affect. He's feeling one emotion while unknowingly expressing another one.,"Classic Neurohecatia. Two days of anticholinergics, you'll be walking out of here.",14,12
"Hears voices, thinks he's the son of God. PRobably SParkzophrenic.",I think you offended him.,10,5
A neuro disorder could explain all his delusions.,Get an MRI of his brain. Let's see if we can find God.,8,13
Thank you for your honesty.,"Think of it as a present. See, somebody is about to turn the big 4-5 in sEveral months, and somebody else wants to make a very big deal of it.",5,30
"You're right. I did lie. To HR. Not to you. When I first applied for the VP Admin job, I was 29 years old. I knew I would be taken more seriously if I were",You lied to make yourself older? Are you lying about being a Woman?,35,13
"Even if you can trap me, you think I'll suddenly embrace the value of lying?",My point is you already have. I just need to prove it.,15,12
All I ask is that they pray for me.,"Always sacrificing. Very inspirational. The lesions are in your temporal lobes. When those areas get messed with, people have strange experiences  like hauntings, alien abductions, past lives.",9,28
Faith is not a disease.,"No, of course not. On the other hand, it is communicable, and it kills a lot of people.",5,18
"Could be an AVM, cerebral infarction.",Let's put it to the vote. Vest or cummerbund?,6,9
He'll be dead in two to three days at the most.,"That's unless we can get someone to nail themselves to a cross as soon as possible. Or, stem cell treatment.",11,20
It would be if it wasn't embryonic stem cell treatment. Our Patient's right of the pope. He's nEver gonna consent to that.,"I know that, and you know that. He doesn't know that. But now she knows that, he's gonna know that. Way to go.",22,23
"I know that, and you know that. He doesn't know that. But now she knows that, he's gonna know that. Way to go.",Confirm Marburg. Then see if he's a fair-weather flagellator.,23,9
Confirm Marburg. Then see if he's a fair-weather flagellator.,"You look smashing, Miss Moneypenny.",9,5
"The daughter's case checks out. Stereotactic biopsy confirmed stage IV Glioblastoma Multiforme. Doesn't respond to chemo, but they gave it to her anyway as a hail Mary and just got lucky.","So either God intervened, which is a lazy explanation, or we just don't know why. Which is no explanation.",31,19
Sometimes there is no explanation. And I'm just fine with that.,Which annoys me to no end.,11,6
"I need that file, that chair, and that desk.","Your Woman is fudging the facts. Five of those cases, the stated doses don't explain the radiation damage.",9,18
Yeah. That's what I thought. I asked her point blank about this. She said the dosages were accurate and that she had done nothing wrong.,"'Cause morally she didn't. All five Patients were terminal. She exceeded the dosing protocols to try to save their life. You would have done the same. She's a sap, and she's perfect for you.",25,34
"'Cause morally she didn't. All five Patients were terminal. She exceeded the dosing protocols to try to save their life. You would have done the same. She's a sap, and she's perfect for you.",I hate rehearsal dinners almost as much as I hate weddings.,34,11
I hate rehearsal dinners almost as much as I hate weddings.,The only reason anyone gets married is that homo erectus females needed protection from predators while breastfeeding. The only reason these two are getting married is to throw an obnoxious gala and make the rest of us feel unworthy.,11,39
The only reason anyone gets married is that homo erectus females needed protection from predators while breastfeeding. The only reason these two are getting married is to throw an obnoxious gala and make the rest of us feel unworthy.,Even though we know in two years their Lawyers are gonna be fighting over the Bentleys.,39,16
That'll make a lovely toast.,She's got looks. He's got money. One of them is bound to run out.,5,14
No fault divorce in New Jersey requires couples to live at least 18 months apart. I'm actually only giving it a few weeks.,Oh. Thought I was supposed to be the dark one.,23,10
Accepting this treatment is an insult to God. I can't expect him to keep our deal.,You already broke it. Your blood test showed you were loaded with ibuprofen.,16,13
Taking painkillers breaks my deal?,"The point is to suffer like your savior did, right? Well, he didn't take myrrh, the Tylenol of ancient Rome. And his nails went through his wrists, not through his palms. Palms are for sissies. And what about the 39 lashes and the beatings and the crown of thorns? What you go through is closer to a bad Manicure than a crucifixion.",5,62
"It's not about showing God my pain. It's about showing him my faith. If he asks me to die for my daughter, I'll do it gladly.","Don't make this about your daughter. You're just worried that if we find a cure, that it'll cost you your faith. And then you'll be like the rest of us.",26,30
"You can prescribe a lot of things, but hope isn't one of 'em.",Sticking by your convictions and damning the consequences. You two have a lot in common. You're both idiots.,13,18
He needs to see his daughter.,He needs to see Inherit the Wind.,6,7
"Just to be clear, this whole little act isn't gonna work. I need an apology. Not flattery.",It's not an act. It's the wedding.,17,7
"Well, I'm a sucker for the white gown.","Traditionally for young, first-time brides.",8,5
"Well, I may not be young, but I'll be first-time.","That is a lie. You were married before. 1987 for six days. Your knowledge of New Jersey divorce law made me suspicious, so I looked it up.",10,27
So this was all your trap?,"Uhh, a trap's primitive. I prefer inveiglement. Anyway, the point is, I lied to you, you lied to me, I forgive you.",6,22
"What? Sam. Sam, don't do this!",So how Many do you think?,6,6
"It's not over, okay? I just really miscalculated. I thought she'd forgiven me",That makes a lot more sense.,13,6
Ignore him. He just got an idea.,I have one more test to run.,7,7
You came from a wedding to tell me that?,Nope. I came from a wedding to run a PET scan.,9,11
I thought you'd given up on me.,I have. PET scan was for your daughter. I was wrong about her. She did have glioblastoma. And she still does. The cancer nEver went away.,7,26
"Yes, it did. They tested her Every year. With a CT scan.","Which misses all the tiny, little tumors that a PET scan doesn't.",12,12
You've made a mistake. She does not have cancer anymore.,I ran it twice. No mistake. Looks like God broke your deal. I'm sorry. But I'm also right.,10,18
You tricked me. God didn't break our deal. I did. You led me into temptation. And I followed.,And God will punish you for that.,18,7
"God. You broke your deal with him, your daughter's fine, you're getting better. Nothing bad happened. Which can only mean one thing. There is no God. Of course, if your daughter gets hit by a meteorite today, I would have some serious egg on my face.",You're smiling. I assume that means you're miserable.,46,8
It means I'm happy. It doesn't mean God doesn't exist. It just means he's-he's truly merciful. My beautiful Marisa was right. God is all about love.,"Punishment is proof of God, and no punishment is proof of God? Ingenious argument.",26,14
"If you had told me, he'd be dead by now. So why do I still want to tell the truth?",Either you're nave or you have scruples. I'm not sure which is worse.,20,13
Good work today. I don't Even think your Patient's gonna sue. It looks like Everybody's happy.,"I've been an idiot. I got this argument stuck in my head. If Everybody lies, then trust is not only unfounded and pointless, it's fictional. But trust is not an argument that can be won or lost. Maybe I just have to suspend my cynicism and beliEve. Maybe it's time I took a leap of faith. I'm sorry. I won't lie to you again.",16,64
The guy did a wonderful thing. Can't we just take that at face value?,You are adorable. Heroism does exist.,14,6
What about the guy who landed the plane in the Hudson?,"News flash  that guy was already on the plane. For all we know, he would have killed Everyone else on board if it increased his chances. Faced with almost certain death, a normal person rides the pine.",11,38
"Pediatrician appointment for an s-h-o-t. Waldenwood insists vaccination reports go in with the application. Honey, finish your oatmeal.",Waldenwood. Is that by any chance a boarding school? Or a work camp?,18,13
Great facilities and teachers. And they're known for their gifted program.,You sure that's the right place for her? Sounds a little snobby.,11,12
What about the macrocytic anemia?,"Borderline, which is the lab equivalent of imaginary, which, by the way, matches the rest of her medical history.",5,19
You really think she's psyParkng herself into atrial fibrillation?,"So get her a cardiologist. You don't want me involved. You don't want you involved. All that ethics stuff that I don't give a crap about suddenly makes sense. If you're emotionally invested, you cannot make rational decisions. You know this would be a disaster.",9,45
"Aye! Not her fault. This ""Dean of Medicine"" stuff  very impressive at parties. But she's forgotten how to be a real doctor. It's all in my file.",There are 15 years of clinic visits in this file.,28,10
I don't want to be a bother. But isn't this what you do for a living?,"So! we're looking for a disease that can last a decade and a half, causes constipation, diarrhea, flu, cold, dizziness, rashes, back and joint pain, ""heart feeling weird,"" ""kishkes feeling wobbly,"" one actual hip replacement. And which has eluded detection by years of blood work, X-rays, and MRIs. Well, one thing does pop to mind.",16,55
It means we might have an actual case.,"Mexican herbal medication for stomach pRoblems, but only in the sense that lead chromate is an herb and poison is a medication.",8,22
"I'll start a chelation I.V. Thank you so much. That wasn't too much of a disaster, was it?",You know! that's not the only thing they found in her home.,18,12
He shouldn't have broken your nose.,"You know, texts, calls, and emails all go to the same magic device these days. You only got to send one.",6,21
Then it's Even weirder it took you so long to get down here.,"Yeah, that's a crazy mystery. It's not like I got a department to run.",13,14
This other magic device tells me that lead poisoning wouldn't cause all my symptoms.,True. But it could cause the 5 that are real.,14,10
You think I'm a hypochondriac?,"Well, let me answer this way maybe you're imagining that I think you're a hypochondriac.",5,15
"Look, my hand just started to shake. It's a side effect of these arthritis pills. Read the label.","I did! when I was typing it up, right before I slapped it on a bottle of sugar pills.",18,19
"An hour to convince her to go with Dr. KaufMan, and only then because he runs internal medicine. She wanted to leave the hospital entirely.","My God, a Woman getting better wants to leave the hospital?",25,11
"If she's getting better, it's not because you made her feel like a fool.","It couldn't be more because. If I hadn't, she'd have diagnosed herself with six new forms of cancer. She'd nEver leave.",14,21
I'll be right there. A-fib's at 170.,Wait. I'm sorry she's sick. I'm not sorry I'm off the case.,7,12
You're not off the case.,You don't think you can convince her,5,7
"No, no. You are staying on. She just can't know about it.","Top of the morning, Dr. KaufMan. Here's the deal. You copy me",12,12
"Yeah. Then I spoke to the elder Cuddy, who specifically requested you not be involved.","Listen, Kauffy, you are perfectly competent, bordering on good, Even. But you know I'm better. If you want, we can pretend it's 'cause I got a team and more resources. Either way, it'd be crazy to ignore my advice.",15,39
Guess we can pass unethical and skip straight to illegal.,Not according to the recent Supreme Court case of bite versus me.,10,12
"If you want gloomy and unable to commit, then stick with the goyishe one.",This is completely unethical. Why are we listening to this?,14,10
"I know I'm a pain, but it's impossible for me to work with you if you","Fine, fine! Instead of a live stream, I'll get a recap from Cuddy 20 minutes later  thank you for saving America.",16,22
So we don't need to do anything.,"I don't. You do. Go to admitting. Find us a new case. Whff! Psst, psst! Whaa! Phfffft!",7,17
"Um, we just did it.","No, we just did the fake one. Why do you think I let the truth fairy know about the bug? I was testing her. She failed. She's still a narc. Thiamine deficiency fits better than leukemia.",5,36
You think she's an alcoholic?,"I had dinner with Arlene. I mixed her a gin and tonic. And I'd run out of the tonic, so I substituted sleeping pills. Next morning, she assumed the blackout was from the drinking. How Many old ladies are used to passing out from boozing? The answer is the boozers. We're gonna have to slip her the thiamine pills.",5,59
We've got to run this by Cuddy.,Why do you think I'm in such a bad mood?,7,10
I have to ask her about this.,"Of course. Absolutely. You'll ask. She'll deny. You'll push it. She'll get offended. You'll be exactly where you are now, except it'll be harder to treat. You've absolutely got to do that.",7,32
I don't think she'll lie to me.,She just spent the last five years going south of the border down Mexico way.,7,15
"If something like that comes up again, just! do what you need to do.",And keep you out of it?,14,6
She spiked a fEver. It's 102.,That means I was wrong about the thiamine deficiency.,6,9
You were wrong about the alcoholism.,True dat. It's actually looking more and more like leukemia.,6,10
KaufMan rushed the biopsies. It's not cancer.,So there's a bright side! KaufMan was wrong too.,7,9
Okay! What disease can turn Cuddy's mother into a coma Patient named Stewart?,Lupus? We got fired from that case. We're moving on.,13,10
You're not gonna talk to us?,Exactly. You're gonna have to Hey! You're good.,6,8
I'll do a blood draw and put glutethimide on the tox screen.,Really? You thought that case was interesting?,12,7
Aren't there other ways of keeping Masters occupied?,Not according to my sexual harassment seminar.,8,7
"Maybe it's not hypochondria. She said she gets a lot of rashes. Add the fEver  sounds like autoimmune, S.L.E.","Congratulations, you can think exactly like a semi-competent internist. KaufMan's starting her on prednisone. But the heart pRoblems were first.",20,20
You got to tell him it's endocarditis.,Check the wiretap. His I.D. guy's been putting the same argument to him. He can't convince him. You think I got a better shot?,7,24
So what do we do?,"We switch her meds. We get a solution of broad-spectrum antibiotics, stick it in an I.V. bag marked for prednisone. KaufMan can only be there a few times a day. Tell Arlene you're from the pharmacy, switch 'em out.",5,39
This is nuts. This is way too compliCated.,It's hanging an I.V. bag!,8,5
"If the attending doesn't know what she's on, the risk of drug reaction",What risk? We know how he's treating her. We bugged the room.,13,12
You gonna run this by Cuddy?,"No. She said to keep her out of it, do what we need to do. Look, I know what I'm suggesting is completely screwed up. That's because this situation is completely screwed up. Do it, or you're fired.",6,38
"Timothy, we're gonna go see the doctor.","Another pop quiz. How Many idiot doctors does it take to switch an I.V.? The longer we wait, the more the prednisone is gonna kill her immune system. Forget playing pharmacist. Mom naps Every afternoon. Wait by the room. When she falls asleep, get the sister out somehow.",7,48
"Because I-I'm worried that he's switParkng your mother's medications. I checked with the pharmacy  Dr. Chase got prednisone and antibiotics for my coma Patient, which wouldn't treat him, but could treat conditions that cause! heart failure.","You told me to keep you out of it, do what I needed to do. What the hell did you think that meant?",37,23
"I meant, like, if you had to slip her a few more vitamin pills or something. This is life-threatening! It's illegal. I wasn't expecting something like this.",Only because you intentionally weren't thinking about it 'cause you don't want to make any tough decisions.,27,17
Are you completely sure it's endocarditis?,That's not a real question. Endocarditis fits better than the alternatives. We're having a little trouble hanging the right I.V. The fastest way is with you help.,6,27
Allergy's got to be due to our antibiotics.,Does KaufMan know what we did? That's good.,8,8
"No, that is terrible! He doesn't know that she got worse on antibiotics, so now he's thinking endocarditis. He'll put her back on the antibiotics that almost suffoCated her. What do we do?",We push through this. It started in the heart. Endocarditis still fits. It's just got to be fungal. We have to switch KaufMan's antibiotics for amphotericin B.,33,27
I don't know if you're right. I don't care. But we are gonna end up killing this Woman if we keep confusing her attending with these secret meds.,I don't care about confusing the attending! I want this Woman,28,11
"We're not talking about simple antibiotics anymore. Amphotericin B is dangerous in itself. It's a poison. That's why it kills fungi. It'll give her fEver, Parklls","Which she already has, which will help us hide it.",26,10
I don't think I can take a risk like that.,"Well, then you shouldn't have let her fire me! Look, all you have to do is switch the I.V.s again.",10,20
"I agree. Fungal endocarditis fits. But we still have to tell your mother. I don't want to tell her, not at all. But the Patient is the highest priority.","I'm kicking you out of your office. Yes, you. This is not her office yet. If you tell anyone, I will get you thrown out of med school, and I will destroy your career.",29,34
I've thought about that. Lying about me! won't work. Everybody knows your reputation.,"True! but I won't have to lie. Buried in your coma Patient's big, big file is a form that doesn't allow treatment without the expressed consent of the relatives.",13,29
You set me up? Why?,Because this Patient is the highest priority.,5,7
"I'm skipping the credentials committee. I'm going straight to the state board and reporting you for  what you've done is so off the spectrum, I don't know there's a specific name for it.",I think he's talking to you.,34,6
"Are you blaming me? This is all because you're so arrogant, you goaded her into firing you!","Actually, my mistakes started a little after that, when I agreed to your brilliant scheme to keep me on the case after she'd fired me off it.",17,27
She would have left the hospital.,"Only 'cause you would have let her, like you did just now.",6,12
You think I can control her?,I don't know. I've nEver seen you try.,6,8
I have been rebelling against this Woman my entire life.,"Here's what I've seen. She insults you, you complain to me. I drug her at dinner, you nEver let her know. We slip her medicine, happens behind her back. You nEver confront her! and it pisses me off.",10,38
Are you taking this personally?,"She leaves, she dies. One day! maybe a week from now, maybe a year from now, you're gonna decide that the Man sleeping next to you killed your mother. Get me my Patient back.",5,34
I feel a little dizzy.,Your heart's still weak from the infection. We'll hang an antifungal I.V.,5,12
That's what he told me.,"Two days ago? I said that I didn't have a department to run, I was being sarcastic.",5,17
That doesn't make any sense. Of course they can. But you weren't.,I love A-Rod. He's soooo modest. And I highly respect the paintings he has of himself as a centaur. Question  do I like A-Rod?,12,25
It can't be. You treated with chelation for lead.,"She got better, then she got worse. She nEver stopped being poisoned.",9,12
Chris! you were a crappy husband! but you are a good person.,"Once again, you are unfired.",12,5
I keep my job if I stand up to you. I keep it if I don't. I! don't buy it.,"When Cuddy was protecting me before, she was protecting a doctor. She's now protecting a boyfriend. The hospital's not gonna put up with that for long. So I need you to protect me from doing something Cuddy will regret. See you bright and late tomorrow.",20,45
I can't move my legs!,"Picture a door. Unlocked with the key of the mind. Two medical cases, both more fascinating than the last.",5,19
That actually makes no logical sense.,"This is not a door to logical sense. Also, shut up. Case number one. 33-year-old Woman named!",6,17
"This is not a door to logical sense. Also, shut up. Case number one. 33-year-old Woman named!","Something I can't remember. You'll see the irony in a second. Presenting with temporary paralysis, high CK lEvels, and a perfect memory.",17,22
So we have two symptoms: Temporary leg paralysis and elevated CK.,Obviously you're not suffering from the same condition 'cause you've already forgotten my dramatic voiceover. There's a third symptom.,11,19
Hyperthymesia is known to Manifest in adolescence.,"Yeah, in the whole five documented cases.",7,7
She's a waitress. They're no strangers to botulism or alcoholism. We should search the diner and where she lives.,"Or you could search her brain. You know, where her memory lives. Save the gas. You two check her home. You two get a complete Patient history. We'll see who gets an answer first.",19,34
I was recovering from the flu. I'm retaking it next week. It's not an issue.,"Normally, I'd let Darwinism run its course. But Cuddy's in a big tizzy about her poster boy getting canned. So, how are we gonna get the short guy off the short bus?",15,32
I don't need a tutor.,"Tutor it is. Choose your poison. Chase, if you prefer pounding Aussie beers and commiserating over the suckiness of divorce. Masters, if you want nervous energy, flash cards, and obnoxious pieces of arcane trivia. Foreman, if you need to be berated by a humorless hard-ass.",5,45
Interesting. You must be more worried than you look.,"I need a consult, Dr. Wilson.",9,6
"Her granddaughter, I think. Early stages of dementia. What's the consult?",I need your medical opinion on what bar we're gonna hit for happy hour tonight to kick off the official end to your three-month pity party over Sam.,11,28
My computer crashed. Lost my database of his acquaintances.,Or you're both lying to me.,9,6
We found a pretty large stash of laxatives. Abuse can lead to hypermagnesemia.,I admit that's! impressively outside-the-box thinking. Hmm.,13,7
"Okay! Uh, so we push fluids and wait for her kidneys to clear the hypermagnesemia?","You'll be waiting a long time since that's not what she has. Her BP and respiratory rate are normal. While you two were so busy being impressively outside the box, you missed the actual box. Chase and Masters done yet?",15,40
It's okay. Remembering something is not the same as understanding it. I'm not a genius. I love my job. I'm great at it. Keeps my mind busy.,"Hi. I'm Dr. House. You are not pooping. Question is, are you also a klutz?",27,15
Uh! I guess I'm no clumsier than most people.,"What are you guessing for? You've got a perfect memory. I was told there'd be numbers, dates, fireworks.",9,18
What do you want to know?,"Let's go back to 2008. How Many trips, stumbles, falls did you have?",6,13
That's a big spike in discoordination.,"If you add the constipation, it's early onset Parkinson's. Give her a full neuro exam, and start her on levodopa.",6,20
"Oh, I'm so surprised you broke into my apartment without telling me. What is this?","An intervention. Exhibit A. A baggie filled with nepeta cataria, also known as!",15,13
That had better not be what I think it is.,"If you mean your new junkie girlfriend, then yes.",10,9
"Okay, fine. I got a cat. Release the Kraken.",I don't think you appreciate the sEverity of your situation. You are rapidly approaParkng an end-stage male spinsterism.,9,18
I don't think you appreciate the sEverity of your situation. You are rapidly approaParkng an end-stage male spinsterism.,"That cat, that diabetic cat that you're shooting up with Insulin and buying dime bags of catnip for, that means you've given up on Ever finding anyone.",18,27
Don't you think you're completely overreacting?,"If I'm completely overreacting, why'd you lie to me?",6,9
"Um, because I knew you would completely overreact.","Its name's Sarah. Cats aren't named that, women are. What the Freud is that about?",8,15
"Look, I didn't name her. My neighbor did. She died, and I felt bad. Sarah would have been destroyed at the shelter.","Aww, who would want a cat that croaks if you're not home twice a day to shoot it up? It's like having your own button on Lost. You know, I'm pretty sure that there is a river nearby.",22,38
"We're back to transient paralysis and high CK, plus arrhythmia.","Masters, when you finally blossom into a Woman, would you Ever sleep with a Man who had a cat?",10,19
"Maybe we're missing the obvious. The heart could be behind Everything. If it's not pumping effectively, the muscles shut down, CK elevates, coordination suffers. Why are you asking about cats?",Curiosity. Can we focus here?,30,5
She said they'd been estranged for over six years. That's a lot of tension.,Run a stress test to confirm long QT.,14,8
It'll have to be drug-induced. Treadmill will pull her stitches.,"Drugs are nEver the answer. If we want her heart to go crazy, there's something simpler and safer. Use the sister.",10,21
"No. I said I didn't know anything about Wilson having a friend named Sarah. Under House rules, that is not a lie. He's lonely. That cat is a nice way for him to get some affection.",That's not the kind of putty tat he needs to be getting it from. He needs a putty tat he can tap.,36,22
Why is it so important to you?,"After divorce number two, he fell into a committed relationship with a three-legged Siamese. He stopped answering his phone, redecorated his place like Grey Gardens. He wasn't able to come back to huManity until a window was left suspiciously and heroically open. How that cat opened the window, I will nEver know.",7,52
He just needs more time. Leave him and the cat alone.,I won't if you will.,11,5
Why are you giving me these?,"Because, while they're off running all these tests, you will be submitting the insurance forms.",6,15
There's an entire department for that.,"Exactly. The Foreman department. Of which you are the Foreman, Foreman. I know you got the time. A little Wallaby told me that you recently vaCated your post as Taub's savior.",6,31
He doesn't need a tutor. He needs Ritalin and a babysitter.,"Consider the forms incentive. Taub doesn't pass, he'll become a perManent part of your life.",11,15
"This isn't really about Cuddy, is it? It's about you. You don't want to lose me. I think you care.","Don't think you can disgust me into pulling Foreman off you. Pulse the Patient with steroids for the autoimmune. Start her on dialysis for the kidney failure. Treat the Taub with insults and small slaps for the obstinacy, and start him on studying for the brain failure.",20,47
You planted something in my apartment to make me think I'm allergic to Sarah.,"Paranoia is the first sign of toxoplasma gondii, the parasite linked to crazy cat lady disease.",14,16
I'm not paranoid. I'm allergic to ragweed and dandelion. I'm not allergic to cats. You're trying to gaslight me.,"Maybe your subconscious is afraid that you're gonna die alone. And it just comes out as gibberish and sneezing. Prove that I'm overreacting. Boys' night out. Good Time Charlie's. They just changed their slogan to, ""where the trashiest ladies",19,39
"You do see the hypocrisy in all this, don't you? Until recently, your lifestyle of choice was self-exile.",But I nEver had a cat. Why don't you pick me up at 8:00?,18,14
Could be pulmonary edema from renal failure.,Pulmonary edema doesn't give you hives.,7,6
You think this is an allergic reaction? It can't be. We pumped her full of steroids.,"It can be. If it was a really, really bad one.",16,11
"It can be. If it was a really, really bad one.",I have good news and bad news. The good news is I was right about you having some autoimmune disease. You're just allergic to the dialysis.,11,26
"But if I can't have dialysis and my kidneys are failing, won't that mean I'll die?","Well, you figured out the bad news.",16,7
"That relationship was broken long before we got there. Nadia literally keeps score. She tallies Everything. She decided Elena's done more bad things to her than good, doesn't deserve her affection.","I'm sure she's right. Unlike Everybody else in the world, her memory seems to let her keep a pure and objective view of people in relationships. There's no petty",31,29
'Cause it's making her die alone of kidney failure in room 205?,"Not necessarily. Nadia's sister's not like her. I'm sure she's got plenty of subjective emotions we can exploit. Why don't you go channel your guilt, see if you can get her to cough up a kidney?",12,36
